question,difficulty,expected_answer,source_file,source_pages,expected_keywords,is_answerable,question_type,expected_behavior
"What is the paper mainly trying to measure?",easy,"The paper measures the productivity impact of GitHub Copilot, a generative-AI pair programmer, on software developers completing a programming task.","2302.06590v1.pdf","1;2","productivity impact;GitHub Copilot;AI pair programmer;software developers",true,answerable,answer
"What AI tool is evaluated in the experiment?",easy,"The experiment evaluates GitHub Copilot, an AI pair programmer that suggests code and entire functions in real time.","2302.06590v1.pdf","1;2","GitHub Copilot;AI pair programmer;suggests code;real time",true,answerable,answer
"What programming task were participants asked to complete?",easy,"Participants were asked to implement an HTTP server in JavaScript as quickly as possible.","2302.06590v1.pdf","1;2;3","HTTP server;JavaScript;as quickly as possible;task",true,answerable,answer
"How did the treatment and control groups differ?",easy,"The treatment group had access to GitHub Copilot and watched a brief video on using it, while the control group did not have Copilot access but could use other resources such as search and Stack Overflow.","2302.06590v1.pdf","2;3","treatment group;control group;GitHub Copilot;Stack Overflow;internet search",true,answerable,answer
"How were participants recruited for the study?",easy,"The researchers recruited professional programmers through Upwork using a job posting for freelance developers.","2302.06590v1.pdf","3;11","Upwork;professional programmers;freelancer developers;job posting",true,answerable,answer
"When did the controlled experiment take place?",easy,"The experiment began on May 15, 2022 and ended on June 20, 2022, shortly before GitHub Copilot became generally available.","2302.06590v1.pdf","3","May 15 2022;June 20 2022;generally available",true,answerable,answer
"What performance outcomes did the study measure?",easy,"The study measured task success and task completion time, with completion time measured from repository creation to the first commit that passed all tests.","2302.06590v1.pdf","4","task success;task completion time;repository creation;first commit;passed all tests",true,answerable,answer
"How did GitHub Classroom help administer the task?",medium,"GitHub Classroom created a private personal copy of the template repository for each participant, recorded timestamps, ran the test suite, and reported passing tests.","2302.06590v1.pdf","4","GitHub Classroom;template repository;timestamp;test suite;passing tests",true,answerable,answer
"What counted as successfully completing the programming task?",easy,"A submission counted as successful when it passed all twelve checks in the included test suite.","2302.06590v1.pdf","4","twelve checks;test suite;successfully completed;passed all tests",true,answerable,answer
"How many offers were accepted and how were participants assigned?",easy,"Ninety-five offers were accepted; 45 developers were assigned to the treated group and 50 to the control group.","2302.06590v1.pdf","5","95 developers;45 treated;50 control;randomly assigned",true,answerable,answer
"What does the paper say about the participants' general background?",medium,"Most participants were aged 25-34 and came from India and Pakistan; they had relatively lower income by US standards, high education levels, about six years of coding experience, and reported about nine coding hours per working day.","2302.06590v1.pdf","5;16","25-34;India;Pakistan;education;6 years;9 hours",true,answerable,answer
"What was the main productivity result?",easy,"Among participants who completed the task, the treated group averaged 71.17 minutes and the control group averaged 160.89 minutes, implying that the Copilot group completed the task 55.8% faster.","2302.06590v1.pdf","5","71.17 minutes;160.89 minutes;55.8% faster;completion time",true,answerable,answer
"How statistically certain is the main completion-time effect?",medium,"The paper reports a p-value of 0.0017 and a 95% confidence interval for the improvement between 21% and 89%.","2302.06590v1.pdf","5","p-value;0.0017;95% confidence interval;21%;89%",true,answerable,answer
"What does the paper report about task success rates?",medium,"The treated group's success rate was 7 percentage points higher than the control group's, but the estimate was not statistically significant because the 95% confidence interval ranged from -0.11 to 0.25.","2302.06590v1.pdf","5;6","success rate;7 percentage points;not statistically significant;-0.11;0.25",true,answerable,answer
"Which developers appeared to benefit more from Copilot?",medium,"The heterogeneous-effect results suggest that less experienced developers, developers with more daily coding hours, and older developers benefited more from Copilot.","2302.06590v1.pdf","6;8","less experienced;daily programming hours;older developers;benefit more",true,answerable,answer
"How did the paper estimate heterogeneous treatment effects?",hard,"The paper assumed treatment effects were a linear function of covariates, applied a Horvitz-Thomson transformation, and regressed the transformed outcome on observables.","2302.06590v1.pdf","6","heterogeneous treatment effects;linear function;Horvitz-Thomson;observables",true,reasoning,answer
"What did participants estimate about Copilot's productivity gain?",medium,"Both treated and control participants estimated an average productivity increase of about 35%, which was lower than the observed 55.8% revealed productivity improvement.","2302.06590v1.pdf","6;7;18","35%;self-reported productivity;55.8%;underestimation",true,answerable,answer
"What did the willingness-to-pay survey show?",medium,"The treated group reported a higher average monthly price for being notified about Copilot's release, $27.25 versus $16.91 for the control group, and the difference was statistically significant at the 95% level.","2302.06590v1.pdf","7;19","willingness to pay;$27.25;$16.91;95% level;treated group",true,answerable,answer
"Why do the authors describe the study as important for productivity research?",medium,"They argue it is the first controlled experiment, to their knowledge, measuring productivity effects of AI tools in professional software development, with statistically and practically significant results.","2302.06590v1.pdf","7","first controlled experiment;productivity effects;professional software development;statistically significant",true,reasoning,answer
