question,difficulty,expected_answer,source_file,source_pages,expected_keywords,is_answerable,question_type,expected_behavior
"What data source and sample period does the paper use?",easy,"The paper uses Colombia's National Household Survey (ENH), mainly covering 1996q2 to 2000q2 for the seven largest cities.","PerezPerez2020.pdf","17;42;43","National Household Survey;ENH;1996q2;2000q2;seven largest cities",true,answerable,answer
"How does the paper define informal workers?",easy,"The paper classifies workers as informal when they do not receive employer-provided health insurance.","PerezPerez2020.pdf","18;43;44","informal workers;health insurance;employer;classification",true,answerable,answer
"What institutional process determined Colombia's minimum wage around the study period?",easy,"A commission representing the government, firms, and unions negotiated the minimum wage increase; if no agreement was reached, the government set it.","PerezPerez2020.pdf","8;10","commission;government;firms;unions;minimum wage",true,answerable,answer
"What empirical shock does the paper use for identification?",easy,"The paper uses the unexpected real minimum wage increase in 1999, caused by actual inflation being lower than expected inflation after the minimum wage had been set.","PerezPerez2020.pdf","1;3;10","unexpected;real minimum wage;1999;expected inflation;actual inflation",true,answerable,answer
"What are the main outcomes studied in the paper?",easy,"The paper studies effects on formal wages, informal wages, formal employment, and informal employment.","PerezPerez2020.pdf","1;2;31;34","formal wages;informal wages;formal employment;informal employment",true,answerable,answer
"Why is Colombia a useful setting for studying minimum wage effects?",medium,"Colombia is useful because minimum wages are high relative to similar Latin American countries, informality is large, and the 1999 inflation forecast error created an unexpected real minimum wage shock.","PerezPerez2020.pdf","3;8;10","Colombia;high minimum wage;informal sector;inflation forecast error;unexpected shock",true,answerable,answer
"How did the financial crisis create both identification and a threat to identification?",medium,"The crisis made actual inflation lower than expected, creating an unexpected real minimum wage increase, but it also generated labor-market shocks that could vary across city-industry blocks and confound the estimated effects.","PerezPerez2020.pdf","10;16","financial crisis;expected inflation;actual inflation;city-industry;labor demand shocks;confound",true,answerable,answer
"What methods does the paper combine to estimate effects across the wage distribution?",medium,"The paper combines unconditional quantile regression or RIF methods with a differences-in-differences design across city-industry blocks with different minimum wage incidence.","PerezPerez2020.pdf","11;12;13;14","unconditional quantile regression;RIF;differences-in-differences;city-industry;incidence",true,answerable,answer
"How is minimum wage incidence measured in the baseline design?",medium,"The baseline incidence measure is the fraction of workers in a city-industry block earning between the old and new real minimum wage before the shock, known as the fraction affected.","PerezPerez2020.pdf","14;15","fraction affected;old minimum wage;new minimum wage;city-industry;incidence",true,answerable,answer
"What does the paper find for formal wages?",medium,"Formal wages increase in the lower tail and around the minimum wage, with little evidence of effects at higher percentiles.","PerezPerez2020.pdf","20;21;22;23;24;27","formal wages;lower tail;around the minimum wage;higher percentiles",true,answerable,answer
