question,difficulty,expected_answer,source_file,source_pages,expected_keywords,is_answerable,question_type,expected_behavior
"What is the main policy question studied in the paper?",easy,"The paper studies how informality and policies toward informality affect output, employment sectors, wages, and welfare in developing-country labor markets.","w18347.pdf","2;3;5","informality;policies;employment;wages;welfare",true,answerable,answer
"What model framework do the authors extend?",easy,"The authors extend the Burdett and Mortensen wage-posting framework to let heterogeneous firms choose whether to operate formally or informally and set wages.","w18347.pdf","2;4","Burdett and Mortensen;wage-posting;heterogeneous firms;formal;informal",true,answerable,answer
"Which country and data source are used for estimation?",easy,"The paper estimates the model using Brazilian micro data from the Brazilian Labour Force Survey, Pesquisa Mensal de Emprego (PME).","w18347.pdf","2;5;17","Brazilian micro data;Brazilian Labour Force Survey;Pesquisa Mensal de Emprego;PME",true,answerable,answer
"What sample period does the PME analysis cover?",easy,"The PME sample period starts in January 2002 and runs through December 2007.","w18347.pdf","18","January 2002;December 2007;PME;sample period",true,answerable,answer
"How do the authors define formal employment in the data?",easy,"Formal workers are defined as employees whose current job is registered with the Ministry of Labour.","w18347.pdf","18","formal workers;registered;Ministry of Labour;current job",true,answerable,answer
"What workers are selected for the empirical sample?",easy,"The paper selects people aged 23 to 65 who are either unemployed or working as registered or unregistered employees.","w18347.pdf","18","age 23;age 65;unemployed;registered;unregistered employees",true,answerable,answer
"What broad labor-market states does the model track?",medium,"The model tracks unemployment, formal employment, and informal employment, with worker flows between those states.","w18347.pdf","10;19;21","unemployment;formal employment;informal employment;transitions;flows",true,answerable,answer
"What does Table 1 show about the composition of workers?",medium,"Table 1 shows that the sample is mostly formal salaried workers, with smaller shares of informal salaried workers and unemployed people, and formal employment rises over 2002-2007.","w18347.pdf","18;19","Table 1;formal salaried;informal salaried;unemployed;2002-2007",true,answerable,answer
"How do transition rates differ for informal workers compared with formal workers?",medium,"The paper reports that job-to-job mobility is much higher among informal workers than formal workers, both within the informal sector and from informal to formal jobs.","w18347.pdf","20;21","job-to-job mobility;informal workers;formal workers;informal to formal;transitions",true,answerable,answer
"Why do the authors focus on low-education workers and split the sample by sex?",medium,"They focus on low-education workers because individual heterogeneity is likely less important, and estimate separately by sex because the model treats workers as homogeneous within segmented markets.","w18347.pdf","20;31","low education;individual heterogeneity;sex;homogeneous;segmented markets",true,reasoning,answer
"Which two Brazilian regions are emphasized in the estimation?",easy,"The paper emphasizes Sao Paulo and Salvador as contrasting local labor markets.","w18347.pdf","22;31","Sao Paulo;Salvador;contrasting regions;local labor markets",true,answerable,answer
"How does informality differ by gender in the descriptive data?",medium,"The paper reports that informality is about 3 to 4 percentage points higher among females in both regions.","w18347.pdf","22;23","informality;3-4 percentage points;females;regions",true,answerable,answer
"What does the model fit section claim?",medium,"The model replicates sector proportions and transitions well, and also matches wage distributions fairly well though not perfectly at the lower tail.","w18347.pdf","31;32","model fit;proportions;transitions;wage distributions;lower tail",true,answerable,answer
"What do the authors find about job destruction rates in the informal sector?",medium,"Estimated job destruction rates are three to five times as high in the informal sector as in the formal sector, though informal jobs are still relatively stable absent job-to-job mobility.","w18347.pdf","31","job destruction rates;three to five times;informal sector;formal sector;stable",true,answerable,answer
"How does the model explain formal workers earning more on average despite possible informal compensating differentials?",hard,"The model can generate compensating differentials for informal jobs at similar productivity, while composition effects make formal workers earn more on average because higher-productivity jobs are more often formal.","w18347.pdf","17","compensating differentials;composition effect;formal workers;informal jobs;productivity",true,reasoning,answer
"What policy simulations are considered?",medium,"The paper simulates increased unemployment insurance, higher severance pay, a 10 percent increase in the cost of informality, and abolishing the informal sector.","w18347.pdf","37;40;41;43","unemployment insurance;severance;cost of informality;abolishing informality;policy simulations",true,answerable,answer
"What happens when unemployment insurance is increased from a low base?",medium,"The paper finds small effects: increasing UI decreases overall welfare because firm profits fall without increasing worker welfare.","w18347.pdf","40;41","unemployment insurance;small effects;overall welfare;firm profits;worker welfare",true,answerable,answer
"What is the effect of increasing severance pay?",medium,"Increasing severance pay by 5 percentage points has a very small negative welfare effect, mainly related to a small decline in formal profits.","w18347.pdf","41","severance pay;5 percentage points;negative effect;welfare;formal profits",true,answerable,answer
"What is the main result of increasing the cost of informality by 10 percent?",medium,"A 10 percent increase in informality costs increases formalization, reduces unemployment, raises overall welfare, and improves welfare for affected groups in the Sao Paulo male simulation.","w18347.pdf","41;42;43","10 percent;cost of informality;formal firms;unemployment;welfare",true,answerable,answer
"Why can reducing informality increase welfare in the model?",hard,"Reducing informality can increase welfare because informal firms limit the size of more productive formal firms and allow formal firms to keep more rents per worker; reducing informality increases competition and worker gains.","w18347.pdf","41;42;48","informal firms;productive formal firms;rents;competition;welfare",true,reasoning,answer
"What happens in the simulations that abolish informality when contact rates adjust endogenously?",hard,"When contact rates adjust endogenously, unemployment declines in all markets, overall welfare increases, and workers' welfare also increases.","w18347.pdf","45;48","abolishing informality;contact rates;unemployment declines;overall welfare;workers welfare",true,answerable,answer
"How do the authors interpret informality in the conclusion?",hard,"The authors argue that informality is not simply benign regulation busting; in their search-friction model it redistributes welfare toward firms and reduces overall welfare, given detection costs.","w18347.pdf","47;48","informality;regulation busting;search frictions;redistribute welfare;firms;overall welfare",true,reasoning,answer
"What assumption qualifies the conclusion that informality lowers welfare?",hard,"The conclusion is predicated on the assumption that informal firms incur detection costs.","w18347.pdf","48","assumption;informal firms;detection costs;welfare",true,answerable,answer
"Does the paper estimate minimum wage effects in Colombia?",easy,"I could not find this information in the provided document.","w18347.pdf",,,false,true_out_of_scope,refuse
"Does the paper evaluate GPT or Gemini models for document question answering?",easy,"I could not find this information in the provided document.","w18347.pdf",,,false,true_out_of_scope,refuse
"Does the paper study cryptocurrency markets or Bitcoin prices?",easy,"I could not find this information in the provided document.","w18347.pdf",,,false,true_out_of_scope,refuse
"Does the paper claim informal firms never face regulatory costs?",medium,"The document does not support the claim that informal firms never face regulatory costs; it says informal firms can face penalties when caught.","w18347.pdf",,,false,unsupported_claim,state_not_supported
"Does the paper say abolishing informality always lowers workers' welfare?",medium,"The document does not support the claim that abolishing informality always lowers workers' welfare; with endogenous contact rates, workers' welfare increases.","w18347.pdf",,,false,unsupported_claim,state_not_supported
"Does the paper base its estimates on Vietnamese household survey data?",medium,"I could not find this information in the provided document.","w18347.pdf",,,false,true_out_of_scope,refuse
"Does the paper claim all informal workers are self-employed entrepreneurs?",hard,"The document does not support the claim that all informal workers are self-employed entrepreneurs; the sample focuses on employees and defines informality by job registration.","w18347.pdf",,,false,unsupported_claim,state_not_supported
